soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,0,15,30,Moist,183477635,113778922
0,15,30,200,200,200,Wet,183477635,113778923
0,0,0,0,15,30,Moist,183477638,113778924
0,15,30,200,200,200,Wet,183477638,113778925
0,0,0,0,15,30,Moist,183477639,113778926
0,15,30,200,200,200,Wet,183477639,113778927
0,0,0,0,15,30,Moist,183477641,113778928
0,15,30,200,200,200,Wet,183477641,113778929
0,0,0,0,15,30,Moist,183477642,113778930
0,15,30,200,200,200,Wet,183477642,113778931
0,0,0,0,15,30,Moist,183477643,113778932
0,15,30,200,200,200,Wet,183477643,113778933
0,0,0,0,15,30,Moist,183477647,113778934
0,15,30,200,200,200,Wet,183477647,113778935
0,0,0,0,15,30,Moist,183477648,113778936
0,15,30,200,200,200,Wet,183477648,113778937
0,0,0,0,15,30,Moist,183477649,113778938
0,15,30,200,200,200,Wet,183477649,113778939
0,0,0,0,15,30,Moist,183477650,113778940
0,15,30,200,200,200,Wet,183477650,113778941
0,0,0,0,15,30,Moist,183477651,113778942
0,15,30,200,200,200,Wet,183477651,113778943
0,15,30,200,200,200,Wet,183477659,113778944
0,0,0,0,15,30,Moist,183477659,113778945
0,15,30,200,200,200,Wet,183477662,113778946
0,0,0,0,15,30,Moist,183477662,113778947
0,15,30,200,200,200,Wet,183477664,113778948
0,0,0,0,15,30,Moist,183477664,113778949
0,0,0,0,15,30,Moist,183477666,113778950
0,15,30,200,200,200,Wet,183477666,113778951
0,0,0,0,15,30,Moist,183477670,113778952
0,15,30,200,200,200,Wet,183477670,113778953
0,15,30,200,200,200,Wet,183477840,113779064
0,0,0,0,15,30,Moist,183477840,113779065
0,0,0,0,15,30,Moist,183477844,113779066
0,15,30,200,200,200,Wet,183477844,113779067
0,15,30,200,200,200,Wet,183477845,113779068
0,0,0,0,15,30,Moist,183477845,113779069
0,0,0,0,15,30,Moist,183477847,113779070
0,15,30,200,200,200,Wet,183477847,113779071
0,0,0,0,15,30,Moist,183477849,113779072
0,15,30,200,200,200,Wet,183477849,113779073
0,0,0,30,46,61,Moist,183477858,113779074
30,46,61,114,124,180,Wet,183477858,113779075
114,124,180,200,200,200,Moist,183477858,113779076
0,0,0,30,46,61,Moist,183477859,113779077
30,46,61,114,124,180,Wet,183477859,113779078
114,124,180,200,200,200,Moist,183477859,113779079
0,0,0,30,46,61,Moist,183477860,113779080
30,46,61,114,124,180,Wet,183477860,113779081
114,124,180,200,200,200,Moist,183477860,113779082
0,0,0,30,46,61,Moist,183477861,113779083
30,46,61,114,124,180,Wet,183477861,113779084
114,124,180,200,200,200,Moist,183477861,113779085
0,0,0,30,46,61,Moist,183477862,113779086
30,46,61,114,124,180,Wet,183477862,113779087
114,124,180,200,200,200,Moist,183477862,113779088
