plantsym,plantsciname,plantcomname,forestunprod,rangeprod,cokey,coeplantskey
ACRU,Acer rubrum,red maple,NA,NA,17497781,74157158
ASTR,Asimina triloba,common pawpaw,NA,NA,17497781,74157159
CARYA,Carya,hickory,NA,NA,17497781,74157160
COFL2,Cornus florida,flowering dogwood,NA,NA,17497781,74157161
JUVI,Juniperus virginiana,eastern redcedar,NA,NA,17497781,74157162
LOJA,Lonicera japonica,Japanese honeysuckle,NA,NA,17497781,74157163
MECA3,Menispermum canadense,common moonseed,NA,NA,17497781,74157164
OSVI,Ostrya virginiana,eastern hophornbeam,NA,NA,17497781,74157165
PAQU2,Parthenocissus quinquefolia,Virginia creeper,NA,NA,17497781,74157166
SAAL5,Sassafras albidum,sassafras,NA,NA,17497781,74157167
SMRO,Smilax rotundifolia,roundleaf greenbrier,NA,NA,17497781,74157168
TORA2,Toxicodendron radicans,eastern poison ivy,NA,NA,17497781,74157169
VIAC,Viburnum acerifolium,mapleleaf viburnum,NA,NA,17497781,74157170
VIAE,Vitis aestivalis,summer grape,NA,NA,17497781,74157171
VIOLA,Viola,violet,NA,NA,17497781,74157172
