cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Corn,Bu,NA,119,NA,NA,NA,NA,1145511,13184205
Grain sorghum,Bu,NA,93,NA,NA,NA,NA,1145511,13184206
Soybeans,Bu,NA,41,NA,NA,NA,NA,1145511,13184207
Winter wheat,Bu,NA,50,NA,NA,NA,NA,1145511,13184208
Grass-legume hay,Tons,NA,2.91,NA,NA,NA,NA,1145511,13184209
Grass-legume pasture,AUM,NA,4.2,NA,NA,NA,NA,1145511,13184210
Corn,Bu,NA,89,NA,NA,NA,NA,1145513,13184211
Grass-legume hay,Tons,NA,2.2,NA,NA,NA,NA,1145513,13184212
Grass-legume pasture,AUM,NA,3.1,NA,NA,NA,NA,1145513,13184213
Grain sorghum,Bu,NA,70,NA,NA,NA,NA,1145513,13184214
Soybeans,Bu,NA,30,NA,NA,NA,NA,1145513,13184215
Winter wheat,Bu,NA,37,NA,NA,NA,NA,1145513,13184216
