structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Moderate,Fine,Granular,NA,NA,27239400,33301189
Weak,Coarse,Prismatic,2,1,27239401,33301190
Moderate,Medium,Angular blocky,1,NA,27239401,33301191
Weak,Medium,Prismatic,2,1,27239402,33301192
Moderate,Medium,Angular blocky,1,NA,27239402,33301193
Moderate,Medium,Subangular blocky,NA,NA,27239403,33301194
,,Massive,NA,NA,27239404,33301195
Moderate,Medium,Granular,NA,NA,27239483,33301282
Moderate,Fine,Subangular blocky,NA,NA,27239484,33301283
Moderate,Medium,Subangular blocky,NA,NA,27239485,33301284
Weak,Medium,Subangular blocky,NA,NA,27239486,33301285
Moderate,Fine,Subangular blocky,NA,NA,27239487,33301286
Moderate,Medium,Subangular blocky,NA,NA,27239488,33301287
Moderate,Fine,Granular,NA,NA,27239489,33301288
Moderate,Medium,Subangular blocky,NA,NA,27239490,33301289
,,Massive,NA,NA,27239491,33301290
Weak,Fine,Granular,NA,NA,27239492,33301291
Weak,Thick,Platy,1,2,27239493,33301292
Moderate,Thin,Platy,2,NA,27239493,33301293
Moderate,Medium,Subangular blocky,2,NA,27239494,33301294
Moderate,Medium,Prismatic,1,2,27239494,33301295
Structureless,,Massive,NA,NA,27239495,33301296
Weak,Fine,Granular,NA,NA,27239496,33301297
Moderate,Fine,Prismatic,1,2,27239497,33301298
Moderate,Fine,Angular blocky,2,NA,27239497,33301299
Weak,Coarse,Subangular blocky,NA,NA,27239498,33301300
,,Massive,NA,NA,27239499,33301301
Moderate,Fine,Granular,NA,NA,27239574,33301394
Moderate,Medium,Subangular blocky,NA,NA,27239575,33301395
,,Massive,NA,NA,27239576,33301396
Weak,Medium,Prismatic,1,2,27239577,33301397
Weak,Medium,Angular blocky,2,NA,27239577,33301398
Weak,Fine,Granular,NA,NA,27239578,33301399
Weak,Thick,Platy,1,2,27239579,33301400
Moderate,Thin,Platy,2,NA,27239579,33301401
Moderate,Medium,Subangular blocky,2,NA,27239580,33301402
Moderate,Medium,Prismatic,1,2,27239580,33301403
Structureless,,Massive,NA,NA,27239581,33301404
Moderate,Fine,Granular,NA,NA,27239582,33301405
Weak,Coarse,Prismatic,2,1,27239583,33301406
Moderate,Medium,Angular blocky,1,NA,27239583,33301407
Weak,Medium,Prismatic,2,1,27239617,33301448
Moderate,Medium,Angular blocky,1,NA,27239617,33301449
Moderate,Medium,Subangular blocky,NA,NA,27239618,33301450
,,Massive,NA,NA,27239619,33301451
Moderate,Medium,Granular,NA,NA,27239620,33301452
Moderate,Fine,Subangular blocky,NA,NA,27239621,33301453
,,Massive,NA,NA,27239622,33301454
Moderate,Medium,Subangular blocky,NA,NA,27239623,33301455
Moderate,Fine,Subangular blocky,NA,NA,27239624,33301456
Moderate,Medium,Subangular blocky,NA,NA,27239625,33301457
Weak,Medium,Subangular blocky,NA,NA,27239626,33301458
Moderate,Fine,Granular,NA,NA,27239686,33301533
Moderate,Medium,Subangular blocky,NA,NA,27239687,33301534
,,Massive,NA,NA,27239688,33301535
Weak,Medium,Prismatic,1,2,27239689,33301536
Weak,Medium,Angular blocky,2,NA,27239689,33301537
Moderate,Fine,Granular,NA,NA,27239769,33301633
Moderate,Medium,Subangular blocky,NA,NA,27239770,33301634
,,Massive,NA,NA,27239771,33301635
Moderate,Fine,Granular,NA,NA,27239779,33301643
Moderate,Medium,Subangular blocky,NA,NA,27239780,33301644
,,Massive,NA,NA,27239781,33301645
Weak,Medium,Prismatic,1,2,27239782,33301646
Weak,Medium,Angular blocky,2,NA,27239782,33301647
Structureless,,Massive,NA,NA,27239934,33301836
