desgnsuffix,chkey,chdesgnsfxkey
p,51069357,20128054
t,51069358,20128055
t,51069359,20128056
g,51069359,20128057
g,51069360,20128053
p,51069361,20128058
g,51069362,20128059
g,51069363,20128060
t,51069363,20128061
g,51069364,20128062
t,51069364,20128063
g,51069365,20128064
p,51069366,20128164
t,51069367,20128165
g,51069367,20128166
t,51069368,20128167
g,51069368,20128168
g,51069369,20128169
p,51069654,20127987
t,51069655,20127988
g,51069655,20127989
t,51069656,20127990
g,51069656,20127991
g,51069657,20127992
p,51069658,20128155
g,51069659,20128156
g,51069660,20128157
g,51069661,20128158
g,51069662,20128161
g,51069663,20128162
g,51069664,20128163
p,51069665,20128159
k,51069665,20128160
