pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
1,,,Loess,NA,12635679,17707606
2,Loamy,stratified,Outwash,NA,12635679,17707607
NA,Clayey,,Colluvium,NA,12635680,17707608
NA,,,Calcareous loess,NA,12635681,17707609
NA,,glacial,Drift,NA,12635681,17707610
2,Loamy,stratified,Outwash,NA,12635600,17707477
1,,,Loess,NA,12635600,17707478
2,Loamy,stratifed,Outwash,NA,12635601,17707479
1,,,Loess,NA,12635601,17707480
1,,,Loess,NA,12635602,17707481
2,Loamy,stratified,Outwash,NA,12635602,17707482
