shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Linear,Linear,26490112,15386070
Linear,Linear,26490113,15386071
Linear,Linear,26490115,15386074
Concave,Linear,26490116,15386073
Linear,Linear,26490117,15386075
Concave,Linear,26490119,15386076
Concave,Linear,26490120,15386077
Concave,Concave,26490121,15386078
Linear,Linear,26490274,15386129
Linear,Linear,26490275,15386123
Linear,Linear,26490276,15386124
Concave,Linear,26490277,15386072
Concave,Concave,26490279,15386126
Concave,Concave,26490280,15386125
Concave,Concave,26490282,15386127
Concave,Concave,26490283,15386128
