site,profile_cm,clay_pct,sand_pct,silt_pct,soc_pct,om_pct,bden_gmc3,paw_mm
ames,0-30,16.74,33.26833333,49.99,2.328,4.00416,1.293,50.7
ames,120-150,16.72666667,25.06,58.21666667,0.49,0.8428,1.537,51.3
ames,150-180,19.07,38.11666667,42.64,0.49,0.8428,1.548,41.7
ames,30-60,19.41,40.38666667,40.20333333,1.46,2.5112,1.434,42.6
ames,60-90,18.88666667,42.54666667,38.56666667,0.73,1.2556,1.526,39.6
ames,90-120,19.53333333,39.23666667,41.22666667,0.49,0.8428,1.548,41.1
craw,0-30,23.1575,8.4875,68.3575,2.7478,4.726216,1.142,62.7
craw,120-150,23.15,7.61,69.135,0.231,0.39732,1.497,58.2
craw,150-180,22.315,7.875,69.81,0.233,0.40076,1.503,58.8
craw,30-60,20.915,5.885,73.2,1.452666667,2.498586667,1.325,63.6
craw,60-90,19.695,6.01,74.305,0.236,0.40592,1.521,61.5
craw,90-120,19.225,6.28,74.49,0.232,0.39904,1.526,61.8
kana,0-30,19.25,29.98,50.51,2.938,5.05336,1.203,53.4
kana,120-150,17.58,27.90333333,54.26666667,0.6,1.032,1.521,49.2
kana,150-180,16.64666667,46.21,37.14333333,0.58,0.9976,1.553,37.8
kana,30-60,17.34333333,41.74666667,40.90666667,1.31,2.2532,1.452,42.3
kana,60-90,18.9,40.07,39.74666667,0.75,1.29,1.518,41.4
kana,90-120,20.49666667,37.73,40.76333333,0.63,1.0836,1.526,42
kell,0-30,20.40666667,21.88166667,57.66833333,2.724,4.68528,1.2,57
kell,120-150,17.54,23.08666667,59.13666667,0.17,0.2924,1.574,51.3
kell,150-180,20.42,22.1,57.47333333,0.1,0.172,1.566,50.4
kell,30-60,17.41,37.79,44.8,1.355,2.3306,1.439,44.7
kell,60-90,21.02666667,38.94,40.03333333,1.19,2.0468,1.46,42.3
kell,90-120,21.94,32.32333333,45.73666667,0.51,0.8772,1.524,44.4
lewi,0-30,19.87833333,10.92333333,69.195,2.246,3.86312,1.222,63.3
lewi,120-150,18.4,8.08,73.52,0.5,0.86,1.492,62.1
lewi,150-180,22.28666667,7.34,70.37333333,0.3,0.516,1.492,59.4
lewi,30-60,21.51666667,7.846666667,70.63333333,2.15,3.698,1.224,63.6
lewi,60-90,19.8,12.47666667,67.72333333,1.375,2.365,1.362,60
lewi,90-120,22.64,4.703333333,72.65666667,0.6,1.032,1.442,61.2
mcna,0-30,18.41,11.915,69.60333333,2.3748,4.084656,1.206,64.2
mcna,120-150,18.27333333,11.93,69.8,1.18,2.0296,1.394,61.2
mcna,150-180,22.04,6.836666667,71.13666667,1.18,2.0296,1.365,61.5
mcna,30-60,22.75666667,7.23,70.01666667,1.983,3.41076,1.245,62.4
mcna,60-90,24.38333333,7.07,68.54,1.407,2.42004,1.322,60
mcna,90-120,25.32666667,8.176666667,66.50333333,1.36,2.3392,1.33,58.2
musc,0-30,11.03,69.585,19.385,1.6976,2.919872,1.442,27
musc,120-150,1.41,98.225,0.365,0.172,0.29584,1.492,6.6
musc,150-180,1.415,96.43,2.155,0.172,0.29584,1.5,7.8
musc,30-60,6.06,80.205,13.735,0.598,1.02856,1.534,18.6
musc,60-90,1.405,92.945,5.65,0.3765,0.64758,1.492,11.1
musc,90-120,1.42,97.465,1.115,0.297,0.51084,1.484,8.1
nash,0-30,19.19166667,28.19166667,52.61333333,2.0226,3.478872,1.322,51.9
nash,120-150,18.25,19.87666667,61.87333333,0.21,0.3612,1.561,53.1
nash,150-180,19.75333333,40.70333333,39.54333333,0.12,0.2064,1.593,39.3
nash,30-60,20.70333333,39.42,39.87666667,0.96,1.6512,1.489,41.7
nash,60-90,22.64,34.96,42.41,0.402,0.69144,1.537,42.6
nash,90-120,17.74666667,43.61,38.65,0.24,0.4128,1.59,38.1
suth,0-30,19.045,12.05833333,68.89833333,2.286,3.93192,1.222,63.3
suth,120-150,19.10666667,10.46666667,70.42666667,0.39,0.6708,1.508,59.7
suth,150-180,19.47,14.18,66.35333333,0.2,0.344,1.542,56.4
suth,30-60,20.31666667,27.78333333,51.9,1.485,2.5542,1.391,50.1
suth,60-90,19.80666667,45.00666667,35.18333333,0.755,1.2986,1.526,38.1
suth,90-120,23.89666667,32.07333333,44.02333333,0.39,0.6708,1.529,43.5
